gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000126581.12,BECN1,2.5972204819938383,1.202212290080254,0.009398157662620367,0.0002975415603340502,0.024886215785728114,0.03640927399379307,NA,4,4,4,1.2734325793606994e-05,9.395401275497948e-06,4.43063957229279
ENSG00000109184.14,DCUN1D4,0.8969802907522263,0.6600570353321971,0.3697294341084685,0.0008463524303278496,0.05374988281551814,0.002106841844887987,NA,4,5,5,0.0001559511243297739,9.419372751032166e-06,4.43009009539875
ENSG00000172922.8,RNASEH2C,-1.4534136237743138,-0.15239135083142785,0.14610894608845398,0.017168295213281302,0.2066153711394952,1.6341984577978554e-10,NA,20,22,22,5.471169443869257e-05,1.0335166408416398e-05,-4.410039712240945
ENSG00000074370.17,ATP2A3,2.625738417772013,0.7717933356892446,0.008646123404561466,0.0006954622688420894,0.08028633332562475,0.00016245311129241323,NA,1,2,2,1.2134692170329842e-05,1.0359809462556419e-05,4.409523963928223
ENSG00000178966.16,RMI1,1.7936273952372273,0.22400900720485437,0.07287266090739579,0.008493234425466713,0.05588758094821601,0.0015049868553592422,NA,24,25,25,3.338841844878259e-05,1.1001236055862816e-05,4.396496052548172
ENSG00000055483.19,USP36,-1.5201164335614934,-0.07871780520966774,0.1284817150648376,0.05884650431170865,0.29931433067355906,1.88330446331859e-15,NA,29,35,35,4.893415398365177e-05,1.1335822645613945e-05,-4.389985486440196
ENSG00000140995.16,DEF8,-1.9880659814043344,-0.1837994668289399,0.046804393113666666,0.01166743000061429,0.07462633152912712,0.0002393424404264421,NA,25,28,28,2.5469343196766876e-05,1.2719203023412782e-05,-4.364880914746011
ENSG00000172543.7,CTSW,-1.6352792376012735,-0.11360042679672483,0.10199052397498519,0.030251219296446863,0.057709840806392576,0.0013780607220021774,NA,41,51,51,4.082305464430446e-05,1.2739707041105469e-05,-4.364528791565175
ENSG00000220201.7,ZGLP1,-2.774218185322815,-0.3077658043475203,0.0055334552930742156,0.004460002768199205,0.11675583442075516,3.950053697756967e-06,NA,16,21,21,9.8245792131429e-06,1.2812740797416725e-05,-4.363278933707626
ENSG00000064300.8,NGFR,2.370484094909383,0.13025411824954714,0.017764808255008716,0.02137283777043295,0.15131614850881625,8.127219464889756e-08,NA,32,35,35,1.5753389318283852e-05,1.3794058247870915e-05,4.347113921863347
ENSG00000250091.2,DNAH10OS,-1.4939592929941765,-0.21558420551157925,0.13518625928495284,0.008148854243345324,0.06919641878410476,0.0003044688636025516,NA,19,20,20,4.901655633560934e-05,1.5770532981799557e-05,-4.317641466204036
ENSG00000179698.13,WDR97,3.089462602264945,0.046679378355890463,0.0020051894935594157,0.18101917298474396,0.4956233961287702,6.4451058119733e-31,NA,17,23,23,5.828552449503638e-06,2.340949069448217e-05,4.229611811168823
ENSG00000196968.10,FUT11,1.5070798120601216,0.11605141390494544,0.13179020074442122,0.02552042693621011,0.1290335650992983,5.552214680645073e-07,NA,31,36,36,4.570931020267593e-05,2.397550256142831e-05,4.224233826161364
ENSG00000108379.9,WNT3,1.6488776326917929,0.036577586315394664,0.0991727063260914,0.2923367090806335,0.6320960535619257,1.336886986710369e-45,NA,61,66,66,3.6704480531544006e-05,2.603174275375861e-05,4.205663401324481
ENSG00000260475.1,RP11-85A1.3,-1.8225668455421211,-0.14252530462429527,0.06836902092053425,0.021006811863729442,0.04849257082762121,0.0038928562987224006,NA,53,55,55,2.8784748991113357e-05,2.6355275785771692e-05,-4.202869317123192
ENSG00000213658.11,LAT,1.3504650094305872,0.3347425868629302,0.17686687016932945,0.003211942327440889,0.13242575318323385,4.964712452887051e-07,NA,4,9,9,5.7638128984855816e-05,2.7381867176809216e-05,4.194214591936284
ENSG00000177981.10,ASB8,1.1571055266509467,0.11449682045715899,0.24722924898395804,0.028277889719149126,0.22090638567544768,7.427944400983157e-12,NA,16,17,17,8.073867212452773e-05,2.7926827280420475e-05,4.189744868144434
ENSG00000198909.7,MAP3K3,-1.472331709292139,-0.2416990067487214,0.14093132450138404,0.006132080914671071,0.10003796298324846,1.796254421341715e-05,NA,9,11,11,4.7237646751583226e-05,2.8314515105298297e-05,-4.1866152823663
ENSG00000140386.12,SCAPER,-1.0981075374450786,-0.17268890782864832,0.27215753441159396,0.011487782528998144,0.04988496615778764,0.0029911826122094127,NA,25,26,26,8.944531601280092e-05,3.0532915849401856e-05,-4.169454801351358
